time (seconds),encoderLeft (meters),encoderRight (meters)
27.5,3.6568872928619385,-0.13901719450950623
27.602,3.6580607891082764,-0.14019356667995453
27.701999999999998,3.659234046936035,-0.14136996865272522
27.802,3.660407543182373,-0.1425463706254959
27.888,3.661581039428711,-0.14372272789478302
28.002,3.6628425121307373,-0.14478763937950134
28.102,3.6728382110595703,-0.1347944289445877
28.202,3.6828367710113525,-0.12479580193758011
28.302,3.692835569381714,-0.1147971823811531
28.402,3.702834367752075,-0.10479855537414551
28.502,3.7128331661224365,-0.0947999358177185
28.601,3.722831964492798,-0.08480130881071091
28.701999999999998,3.732830762863159,-0.07480263710021973
28.803,3.7428295612335205,-0.06480394303798676
28.902,3.752828359603882,-0.054805267602205276
29.002,3.762827157974243,-0.04480654001235962
29.112,3.7728261947631836,-0.03480786085128784
29.203,3.782824993133545,-0.024809107184410095
29.3,3.7928237915039062,-0.014810447581112385
29.402,3.802722692489624,-0.004911537282168865
29.502,3.802725076675415,-0.0049085780046880245
29.601,3.8027238845825195,-0.0049098762683570385
29.701,3.802722692489624,-0.004911182913929224
29.802,3.8027217388153076,-0.004912454169243574
29.901,3.802720546722412,-0.0049137636087834835
30.002,3.8027193546295166,-0.004915010649710894
30.101,3.802718162536621,-0.004916299134492874
30.201,3.8027169704437256,-0.004917589481920004
30.302,3.80271577835083,-0.004918860271573067
30.401,3.8027145862579346,-0.004920196253806353
30.502,3.802713394165039,-0.0049215080216526985
30.602,3.8027124404907227,-0.004922805819660425
30.701,3.802711248397827,-0.004924069158732891
30.802,3.8027100563049316,-0.004925378132611513
30.901,3.802708864212036,-0.004926658701151609
31.001,3.8027076721191406,-0.004928000271320343
31.102,3.802706480026245,-0.004929237999022007
31.202,3.8027052879333496,-0.004930582363158464
31.302,3.802704334259033,-0.004931837320327759
31.402,3.8027031421661377,-0.004933161661028862
31.502,3.802701950073242,-0.004934460390359163
31.606,3.8027007579803467,-0.004935753531754017
31.689,3.802699565887451,-0.00493706576526165
31.802,3.8026983737945557,-0.004938356578350067
31.901,3.802708864212036,-0.004951308481395245
32.001,3.8038814067840576,-0.006126960273832083
32.103,3.8050549030303955,-0.007303297054022551
32.201,3.806316375732422,-0.008368232287466526
32.302,3.8163115978240967,0.0016256732633337379
32.402,3.826310396194458,0.011624271050095558
32.5,3.8363091945648193,0.02162286639213562
32.602,3.8463079929351807,0.03162146359682083
32.687,3.856306791305542,0.04162006080150604
32.801,3.8663055896759033,0.05161866545677185
32.902,3.8763043880462646,0.06161734089255333
33.002,3.886303186416626,0.0716160461306572
33.102,3.8963022232055664,0.08161471039056778
33.201,3.9063010215759277,0.09161346405744553
33.302,3.916299819946289,0.10161212831735611
33.4,3.9262986183166504,0.11161083728075027
33.501,3.9362974166870117,0.12160953134298325
33.602,3.9461965560913086,0.13150843977928162
33.702,3.9461991786956787,0.1315116286277771
33.794,3.946197986602783,0.13151034712791443
33.902,3.9461967945098877,0.13150905072689056
34.001,3.946195602416992,0.1315077841281891
34.107,3.9461944103240967,0.13150647282600403
34.203,3.9461934566497803,0.13150517642498016
34.301,3.9461922645568848,0.1315038651227951
34.402,3.9461910724639893,0.13150256872177124
34.502,3.9461898803710938,0.13150128722190857
34.602,3.9461886882781982,0.1314999908208847
34.701,3.9461874961853027,0.13149867951869965
34.801,3.9461863040924072,0.13149741291999817
34.9,3.9461851119995117,0.1314961165189743
35.002,3.9461841583251953,0.13149483501911163
35.102,3.9461829662323,0.13149353861808777
35.201,3.9461817741394043,0.13149228692054749
35.301,3.946180582046509,0.131491020321846
35.401,3.9461793899536133,0.13148973882198334
35.502,3.9461781978607178,0.13148842751979828
35.599,3.9461772441864014,0.13148713111877441
35.701,3.946176052093506,0.13148586452007294
35.802,3.9461748600006104,0.13148453831672668
35.906,3.946173667907715,0.13148324191570282
36.001,3.9461724758148193,0.13148197531700134
36.099,3.946171283721924,0.1314806491136551
36.202,3.9461586475372314,0.13149100542068481
36.301,3.94498348236084,0.1326640248298645
36.402,3.94380784034729,0.13383780419826508
36.501,3.942631959915161,0.13501156866550446
36.589,3.941567897796631,0.1362733542919159
36.702,3.9515621662139893,0.14626753330230713
36.8,3.9615609645843506,0.15626618266105652
36.9,3.971559524536133,0.1662648320198059
37.002,3.981558322906494,0.1762634664773941
37.102,3.9915571212768555,0.1862621158361435
37.202,4.001555919647217,0.1962607502937317
37.3,4.011554718017578,0.20625948905944824
37.401,4.0215535163879395,0.21625816822052002
37.502,4.031552314758301,0.226256862282753
37.596,4.041551113128662,0.23625552654266357
37.702,4.051549911499023,0.24625419080257416
37.802,4.061548709869385,0.2562529146671295
37.902,4.071447849273682,0.26615166664123535
38.001,4.071450233459473,0.26615476608276367
38.105,4.071449279785156,0.266153484582901
38.202,4.071447849273682,0.26615220308303833
38.301,4.071446895599365,0.26615092158317566
38.402,4.071445465087891,0.2661495804786682
38.485,4.071444511413574,0.26614826917648315
38.602,4.0714430809021,0.2661469876766205
38.702,4.071442127227783,0.2661456763744354
38.797,4.071440696716309,0.26614439487457275
38.902,4.071439743041992,0.2661430835723877
39,4.071438789367676,0.266141802072525
39.099,4.071437358856201,0.26614049077033997
39.194,4.071436405181885,0.2661392092704773
39.302,4.07143497467041,0.2661379277706146
39.401,4.071434020996094,0.26613664627075195
39.503,4.071432590484619,0.2661353349685669
39.602,4.071431636810303,0.26613402366638184
39.702,4.071430206298828,0.2661327123641968
39.788,4.071429252624512,0.2661314010620117
39.902,4.071427822113037,0.26613008975982666
40.001,4.071426868438721,0.266128808259964
40.102,4.071425914764404,0.26612749695777893
40.202,4.07142448425293,0.26612621545791626
40.301,4.071423530578613,0.2661248743534088
40.402,4.071422100067139,0.26612356305122375
40.502,4.071421146392822,0.2661222815513611
40.603,4.071408271789551,0.2661325931549072
40.701,4.070233345031738,0.2673057019710541
40.802,4.069057464599609,0.26847943663597107
40.902,4.0678815841674805,0.26965320110321045
41.001,4.066817283630371,0.2709149420261383
41.101,4.076811790466309,0.2809087336063385
41.203,4.08681058883667,0.29090744256973267
41.298,4.096808910369873,0.30090612173080444
41.405,4.106807708740234,0.3109048008918762
41.503,4.116806507110596,0.320903480052948
41.589,4.126805305480957,0.3309021294116974
41.701,4.136804103851318,0.34090083837509155
41.801,4.14680290222168,0.3508995473384857
